State,Age,Percent
AL,18-24,21.1
AL,25-34,15.8
AL,35-44,13.8
AL,45-54,13.5
AL,55-64,14.1
AL,65+,11.2
AK,18-24,11.4
AK,25-34,13.0
AK,35-44,12.3
AK,45-54,10.2
AK,55-64,15.2
AK,65+,11.1
AZ,18-24,17.5
AZ,25-34,16.0
AZ,35-44,15.1
AZ,45-54,12.6
AZ,55-64,13.1
AZ,65+,12.4
AR,18-24,14.4
AR,25-34,11.2
AR,35-44,12.8
AR,45-54,14.8
AR,55-64,15.2
AR,65+,12.3
CA,18-24,16.5
CA,25-34,10.9
CA,35-44,11.5
CA,45-54,12.9
CA,55-64,13.1
CA,65+,12.0
CO,18-24,15.9
CO,25-34,12.8
CO,35-44,11.3
CO,45-54,10.8
CO,55-64,12.6
CO,65+,10.8
CT,18-24,17.6
CT,25-34,16.1
CT,35-44,15.1
CT,45-54,11.6
CT,55-64,14.7
CT,65+,11.2
DE,18-24,17.9
DE,25-34,16.2
DE,35-44,12.7
DE,45-54,14.1
DE,55-64,13.3
DE,65+,12.8
DC,18-24,26.1
DC,25-34,19.9
DC,35-44,14.7
DC,45-54,14.6
DC,55-64,16.7
DC,65+,11.3
FL,18-24,16.0
FL,25-34,12.9
FL,35-44,10.6
FL,45-54,12.6
FL,55-64,13.3
FL,65+,10.0
GA,18-24,20.4
GA,25-34,14.1
GA,35-44,13.4
GA,45-54,11.8
GA,55-64,13.0
GA,65+,11.7
HI,18-24,20.4
HI,25-34,19.7
HI,35-44,16.2
HI,45-54,16.8
HI,55-64,12.4
HI,65+,13.7
ID,18-24,14.0
ID,25-34,13.8
ID,35-44,13.2
ID,45-54,9.6
ID,55-64,12.9
ID,65+,11.4
IL,18-24,17.7
IL,25-34,15.0
IL,35-44,14.9
IL,45-54,12.5
IL,55-64,13.0
IL,65+,12.1
IN,18-24,19.5
IN,25-34,16.2
IN,35-44,15.1
IN,45-54,13.8
IN,55-64,12.3
IN,65+,12.4
IA,18-24,18.4
IA,25-34,17.1
IA,35-44,11.0
IA,45-54,12.8
IA,55-64,12.3
IA,65+,9.6
KS,18-24,18.3
KS,25-34,13.9
KS,35-44,13.5
KS,45-54,13.4
KS,55-64,12.6
KS,65+,11.0
KY,18-24,21.0
KY,25-34,17.9
KY,35-44,18.6
KY,45-54,15.8
KY,55-64,16.8
KY,65+,13.1
LA,18-24,15.5
LA,25-34,12.9
LA,35-44,12.9
LA,45-54,11.3
LA,55-64,12.2
LA,65+,11.5
ME,18-24,21.0
ME,25-34,21.4
ME,35-44,18.9
ME,45-54,15.3
ME,55-64,14.0
ME,65+,12.6
MD,18-24,23.9
MD,25-34,14.9
MD,35-44,11.8
MD,45-54,10.2
MD,55-64,11.8
MD,65+,11.4
MA,18-24,22.1
MA,25-34,21.8
MA,35-44,16.6
MA,45-54,16.7
