State,Income,Percent
AL,"< $15,000",21.6
AL,"$15-$24,999",16.5
AL,"$25-$49,999",14.1
AL,"$50-$74,999",13.9
AL,">=$75,000",10.4
AK,"< $15,000",20.7
AK,"$15-$24,999",16.5
AK,"$25-$49,999",10.8
AK,"$50-$74,999",10.7
AK,">=$75,000",11.1
AZ,"< $15,000",17.1
AZ,"$15-$24,999",15.2
AZ,"$25-$49,999",15.6
AZ,"$50-$74,999",12.7
AZ,">=$75,000",12.4
AR,"< $15,000",22.6
AR,"$15-$24,999",13.6
AR,"$25-$49,999",13.4
AR,"$50-$74,999",8.8
AR,">=$75,000",8.2
CA,"< $15,000",15.0
CA,"$15-$24,999",13.5
CA,"$25-$49,999",13.1
CA,"$50-$74,999",11.6
CA,">=$75,000",12.4
CO,"< $15,000",18.3
CO,"$15-$24,999",15.2
CO,"$25-$49,999",11.2
CO,"$50-$74,999",13.5
CO,">=$75,000",9.5
CT,"< $15,000",17.2
CT,"$15-$24,999",14.2
CT,"$25-$49,999",14.3
CT,"$50-$74,999",14.5
CT,">=$75,000",12.1
DE,"< $15,000",22.6
DE,"$15-$24,999",16.8
DE,"$25-$49,999",13.8
DE,"$50-$74,999",14.2
DE,">=$75,000",13.2
DC,"< $15,000",27.9
DC,"$15-$24,999",19.4
DC,"$25-$49,999",17.0
DC,"$50-$74,999",19.1
DC,">=$75,000",12.1
FL,"< $15,000",17.1
FL,"$15-$24,999",15.9
FL,"$25-$49,999",11.2
FL,"$50-$74,999",9.8
FL,">=$75,000",9.5
GA,"< $15,000",18.5
GA,"$15-$24,999",18.3
GA,"$25-$49,999",11.8
GA,"$50-$74,999",11.2
GA,">=$75,000",12.8
HI,"< $15,000",21.4
HI,"$15-$24,999",15.1
HI,"$25-$49,999",15.0
HI,"$50-$74,999",13.9
HI,">=$75,000",17.1
ID,"< $15,000",19.7
ID,"$15-$24,999",14.7
ID,"$25-$49,999",13.3
ID,"$50-$74,999",7.6
ID,">=$75,000",9.1
IL,"< $15,000",18.5
IL,"$15-$24,999",15.5
IL,"$25-$49,999",12.0
IL,"$50-$74,999",15.5
IL,">=$75,000",12.9
IN,"< $15,000",24.0
IN,"$15-$24,999",18.4
IN,"$25-$49,999",13.0
IN,"$50-$74,999",12.8
IN,">=$75,000",9.9
IA,"< $15,000",24.4
IA,"$15-$24,999",13.3
IA,"$25-$49,999",12.1
IA,"$50-$74,999",12.1
IA,">=$75,000",11.7
KS,"< $15,000",22.3
KS,"$15-$24,999",15.5
KS,"$25-$49,999",13.5
KS,"$50-$74,999",11.7
KS,">=$75,000",10.9
KY,"< $15,000",27.6
KY,"$15-$24,999",19.1
KY,"$25-$49,999",14.0
KY,"$50-$74,999",13.3
KY,">=$75,000",14.0
LA,"< $15,000",19.9
LA,"$15-$24,999",14.6
LA,"$25-$49,999",12.1
LA,"$50-$74,999",9.8
LA,">=$75,000",8.4
ME,"< $15,000",25.7
ME,"$15-$24,999",19.6
ME,"$25-$49,999",16.5
ME,"$50-$74,999",12.8
ME,">=$75,000",12.1
MD,"< $15,000",22.8
MD,"$15-$24,999",14.5
MD,"$25-$49,999",14.3
MD,"$50-$74,999",13.0
MD,">=$75,000",11.3
MA,"< $15,000",25.9
MA,"$15-$24,999",24.3
MA,"$25-$49,999",16.4
MA,"$50-$74,999",15.1
MA,">=$75,000",15.1
MI,"< $15,000",25.8
MI,"$15-$24,999",19.7
MI,"$25-$49,999",13.3
MI,"$50-$74,999",11.2
MI,">=$75,000",13.3
MN,"< $15,000",20.5
MN,"$15-$24,999",16.2
MN,"$25-$49,999",11.6
MN,"$50-$74,999",9.6
MN,">=$75,000",9.9
MS,"< $15,000",19.4
MS,"$15-$24,999",12.6
MS,"$25-$49,999",10.9
MS,"$50-$74,999",11.6
MS,">=$75,000",9.9
MO,"< $15,000",26.4
MO,"$15-$24,999",17.3
MO,"$25-$49,999",14.1
MO,"$50-$74,999",13.3
MO,">=$75,000",11.6
MT,"< $15,000",19.6
MT,"$15-$24,999",14.9
MT,"$25-$49,999",14.2
MT,"$50-$74,999",9.6
MT,">=$75,000",11.9
NE,"< $15,000",22.2
NE,"$15-$24,999",15.6
NE,"$25-$49,999",11.3
NE,"$50-$74,999",9.8
NE,">=$75,000",9.6
NV,"< $15,000",13.4
NV,"$15-$24,999",11.1
NV,"$25-$49,999",12.3
NV,"$50-$74,999",14.7
NV,">=$75,000",14.1
NH,"< $15,000",26.8
NH,"$15-$24,999",21.5
NH,"$25-$49,999",13.9
NH,"$50-$74,999",12.3
NH,">=$75,000",10.6
NJ,"< $15,000",18.9
NJ,"$15-$24,999",14.1
NJ,"$25-$49,999",12.1
NJ,"$50-$74,999",12.4
NJ,">=$75,000",11.2
NM,"< $15,000",19.0
NM,"$15-$24,999",13.7
NM,"$25-$49,999",11.8
NM,"$50-$74,999",15.8
NM,">=$75,000",13.4
NY,"< $15,000",22.8
NY,"$15-$24,999",16.0
NY,"$25-$49,999",14.4
NY,"$50-$74,999",14.3
NY,">=$75,000",12.1
NC,"< $15,000",18.4
NC,"$15-$24,999",13.8
NC,"$25-$49,999",10.7
