State,Age,Percent
AL,18,21.1
AK,55,15.2
AZ,18,17.5
AR,55,15.2
CA,18,16.5
CO,18,15.9
CT,18,17.6
DE,18,17.9
DC,18,26.1
FL,25,12.9
GA,18,20.4
HI,18,20.4
ID,25,13.8
IL,18,17.7
IN,18,19.5
IA,18,18.4
KS,18,18.3
KY,18,21
LA,18,15.5
ME,25,21.4
MD,18,23.9
MA,18,22.1
MI,25,18.8
MN,18,16.7
MS,25,14.8
MO,25,18.9
MT,18,19.7
NE,18,17.1
NV,18,14.7
NH,25,16.7
NJ,18,16.5
NM,18,20.6
NY,18,18.3
NC,18,15.8
ND,35,12.9
OH,18,19.2
OK,18,16.9
OR,18,22.3
PA,18,21.4
RI,18,18.7
SC,18,16.4
SD,18,14.8
TN,18,23.6
TX,18,14.3
UT,18,16.1
VT,25,22.6
VA,18,17.7
WA,18,21
WV,18,18
WI,18,16.7
WY,25,14.6
GU,18,15
PR,18,20.3
