State,Sex,Percent
AL,Male,11.5
AL,Female,17.4
AK,Male,8.4
AK,Female,16.8
AZ,Male,12.0
AZ,Female,16.6
AR,Male,11.7
AR,Female,14.8
CA,Male,9.7
CA,Female,15.5
CO,Male,9.8
CO,Female,14.6
CT,Male,10.8
CT,Female,17.1
DE,Male,11.5
DE,Female,17.0
DC,Male,15.4
DC,Female,18.8
FL,Male,9.6
FL,Female,14.5
GA,Male,11.4
GA,Female,16.1
HI,Male,14.1
HI,Female,18.3
ID,Male,9.7
ID,Female,15.0
IL,Male,11.5
IL,Female,16.3
IN,Male,11.9
IN,Female,17.1
IA,Male,12.4
IA,Female,13.9
KS,Male,11.1
KS,Female,16.0
KY,Male,14.3
KY,Female,19.3
LA,Male,11.2
LA,Female,13.7
ME,Male,14.7
ME,Female,18.1
MD,Male,10.5
MD,Female,16.2
MA,Male,14.1
MA,Female,20.8
MI,Male,13.0
MI,Female,17.6
MN,Male,9.8
MN,Female,13.8
MS,Male,11.7
MS,Female,13.3
MO,Male,13.1
MO,Female,15.8
MT,Male,11.8
MT,Female,15.1
NE,Male,10.8
NE,Female,13.6
NV,Male,11.4
NV,Female,13.2
NH,Male,10.5
NH,Female,17.5
NJ,Male,11.1
NJ,Female,13.7
NM,Male,12.3
NM,Female,16.4
NY,Male,13.1
NY,Female,16.8
NC,Male,9.4
NC,Female,13.4
ND,Male,10.1
ND,Female,14.3
OH,Male,11.7
OH,Female,18.0
OK,Male,12.8
OK,Female,15.8
OR,Male,14.2
OR,Female,18.8
PA,Male,12.4
PA,Female,16.2
RI,Male,12.5
RI,Female,17.7
SC,Male,10.6
SC,Female,15.4
SD,Male,8.9
SD,Female,13.5
TN,Male,11.9
TN,Female,16.7
TX,Male,9.5
TX,Female,12.6
UT,Male,11.9
UT,Female,15.0
VT,Male,13.3
VT,Female,19.5
VA,Male,10.2
VA,Female,15.0
WA,Male,13.0
WA,Female,16.5
WV,Male,11.6
WV,Female,17.3
WI,Male,10.3
WI,Female,15.0
WY,Male,9.8
WY,Female,14.2
GU,Male,8.7
GU,Female,16.2
PR,Male,11.8
PR,Female,21.8
