State,Sex,Percent
AL,Male,11.5
AL,Female,17.4
AZ,Male,8.4
AZ,Female,16.8
AR,Male,12
AR,Female,16.6
CA,Male,11.7
CA,Female,14.8
CO,Male,9.7
CO,Female,15.5
CT,Male,9.8
CT,Female,14.6
DE,Male,11.5
DE,Female,17
DC,Male,15.4
DC,Female,18.8
FL,Male,9.6
FL,Female,14.5
GA,Male,11.4
GA,Female,16.1
HI,Male,14.1
HI,Female,18.3
ID,Male,9.7
ID,Male,15
IL,Female,11.5
IL,Male,16.3
IN,Female,11.9
IN,Male,17.1
IA,Female,12.4
IA,Male,13.9
KS,Female,11.1
KS,Male,16
KY,Female,14.3
KY,Male,19.3
LA,Female,11.2
LA,Male,13.7
ME,Female,14.7
ME,Male,18.1
MD,Female,10.5
MD,Male,16.2
MA,Female,14.1
MA,Male,20.8
MI,Female,13
MI,Male,17.6
MN,Female,9.8
MN,Male,13.8
MS,Male,11.7
MS,Female,13.3
MO,Male,13.1
MO,Female,15.8
MT,Male,11.8
MT,Female,15.1
NE,Male,10.8
NE,Female,13.6
NV,Male,11.4
NV,Female,13.2
NH,Male,10.5
NH,Female,17.5
NJ,Male,11.1
NJ,Female,13.7
NM,Male,12.3
NM,Female,16.4
NY,Male,13.1
NY,Female,16.8
NC,Male,9.4
NC,Female,13.4
ND,Male,10.1
ND,Female,14.3
OH,Male,11.7
OH,Female,18
OK,Male,12.8
OK,Female,15.8
OR,Male,14.2
OR,Female,18.8
PA,Male,12.4
PA,Female,16.2
RI,Male,12.5
RI,Female,17.7
SC,Male,10.6
SC,Female,15.4
SD,Male,8.9
SD,Female,13.5
TN,Male,11.9
TN,Female,16.7
TX,Male,9.5
TX,Female,12.6
UT,Male,11.9
UT,Female,15
VT,Male,13.3
VT,Female,19.5
VA,Male,10.2
VA,Female,15
WA,Male,13
WA,Female,16.5
WV,Male,11.6
WV,Female,17.3
WI,Male,10.3
WI,Female,15
WY,Male,9.8
WY,Female,14.2
GU,Male,8.7
GU,Female,16.2
PR,Male,11.8
PR,Female,21.8
